,PassengerId,Pclass,Age,SibSp,Parch,Fare,sex_lab,embarked_lab,family,socio,Deck_B,Deck_C,Deck_D,Deck_E,Deck_other,Survived
0,1,3,22.0,1,0,7.25,0,1.0,1,6,0,0,0,0,0,0
1,2,1,38.0,1,0,71.2833,1,2.0,1,2,0,1,0,0,0,1
2,3,3,26.0,0,0,7.925,1,1.0,0,3,0,0,0,0,0,1
3,4,1,35.0,1,0,53.1,1,1.0,1,2,0,1,0,0,0,1
4,5,3,35.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
5,6,3,24.0,0,0,8.4583,0,3.0,0,3,0,0,0,0,0,0
6,7,1,54.0,0,0,51.8625,0,1.0,0,1,0,0,0,1,0,0
7,8,3,2.0,3,1,21.075,0,1.0,4,15,0,0,0,0,0,0
8,9,3,27.0,0,2,11.1333,1,1.0,2,9,0,0,0,0,0,1
9,10,2,14.0,1,0,30.0708,1,2.0,1,4,0,0,0,0,0,1
10,11,3,4.0,1,1,16.7,1,1.0,2,9,0,0,0,0,1,1
11,12,1,58.0,0,0,26.55,1,1.0,0,1,0,1,0,0,0,1
12,13,3,20.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
13,14,3,39.0,1,5,31.275,0,1.0,6,21,0,0,0,0,0,0
14,15,3,14.0,0,0,7.8542,1,1.0,0,3,0,0,0,0,0,0
15,16,2,55.0,0,0,16.0,1,1.0,0,2,0,0,0,0,0,1
16,17,3,2.0,4,1,29.125,0,3.0,5,18,0,0,0,0,0,0
17,18,2,29.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,1
18,19,3,31.0,1,0,18.0,1,1.0,1,6,0,0,0,0,0,0
19,20,3,24.0,0,0,7.225,1,2.0,0,3,0,0,0,0,0,1
20,21,2,35.0,0,0,26.0,0,1.0,0,2,0,0,0,0,0,0
21,22,2,34.0,0,0,13.0,0,1.0,0,2,0,0,1,0,0,1
22,23,3,15.0,0,0,8.0292,1,3.0,0,3,0,0,0,0,0,1
23,24,1,28.0,0,0,35.5,0,1.0,0,1,0,0,0,0,1,1
24,25,3,8.0,3,1,21.075,1,1.0,4,15,0,0,0,0,0,0
25,26,3,38.0,1,5,31.3875,1,1.0,6,21,0,0,0,0,0,1
26,27,3,24.0,0,0,7.225,0,2.0,0,3,0,0,0,0,0,0
27,28,1,19.0,3,2,263.0,0,1.0,5,6,0,1,0,0,0,0
28,29,3,24.0,0,0,7.8792,1,3.0,0,3,0,0,0,0,0,1
29,30,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
30,31,1,40.0,0,0,27.7208,0,2.0,0,1,0,0,0,0,0,0
31,32,1,37.0,1,0,146.5208,1,2.0,1,2,1,0,0,0,0,1
32,33,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
33,34,2,66.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
34,35,1,28.0,1,0,82.1708,0,2.0,1,2,0,0,0,0,0,0
35,36,1,42.0,1,0,52.0,0,1.0,1,2,0,0,0,0,0,0
36,37,3,24.0,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,1
37,38,3,21.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
38,39,3,18.0,2,0,18.0,1,1.0,2,9,0,0,0,0,0,0
39,40,3,14.0,1,0,11.2417,1,2.0,1,6,0,0,0,0,0,1
40,41,3,40.0,1,0,9.475,1,1.0,1,6,0,0,0,0,0,0
41,42,2,27.0,1,0,21.0,1,1.0,1,4,0,0,0,0,0,0
42,43,3,24.0,0,0,7.8958,0,2.0,0,3,0,0,0,0,0,0
43,44,2,3.0,1,2,41.5792,1,2.0,3,8,0,0,0,0,0,1
44,45,3,19.0,0,0,7.8792,1,3.0,0,3,0,0,0,0,0,1
45,46,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
46,47,3,24.0,1,0,15.5,0,3.0,1,6,0,0,0,0,0,0
47,48,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
48,49,3,24.0,2,0,21.6792,0,2.0,2,9,0,0,0,0,0,0
49,50,3,18.0,1,0,17.8,1,1.0,1,6,0,0,0,0,0,0
50,51,3,7.0,4,1,39.6875,0,1.0,5,18,0,0,0,0,0,0
51,52,3,21.0,0,0,7.8,0,1.0,0,3,0,0,0,0,0,0
52,53,1,49.0,1,0,76.7292,1,2.0,1,2,0,0,1,0,0,1
53,54,2,29.0,1,0,26.0,1,1.0,1,4,0,0,0,0,0,1
54,55,1,65.0,0,1,61.9792,0,2.0,1,2,1,0,0,0,0,0
55,56,1,37.0,0,0,35.5,0,1.0,0,1,0,1,0,0,0,1
56,57,2,21.0,0,0,10.5,1,1.0,0,2,0,0,0,0,0,1
57,58,3,28.5,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,0
58,59,2,5.0,1,2,27.75,1,1.0,3,8,0,0,0,0,0,1
59,60,3,11.0,5,2,46.9,0,1.0,7,24,0,0,0,0,0,0
